address,symbol,name,decimals,total_supply,block_number
0x41a7820c86f4bea29e6c9239aeb0fbdba12dd790,🦄,Unicorns,0,0,
0xbb70744d47d668e5f62fe04da6a24210b08de8cd,,,,,
0x4a8f4077d89ebf11fcf1c4b2103eb307af46b72d,BFXD,Bitfinex Debt Coin,2,8000000000,
0x7099d016b4a8dfb0388f949e01b551ea1790bf2f,E,EtherDollar,4,,
0x5a4dc70cf3b6af5ec4386c7d2deac1bb341518ff,,,,,
0x74c1e4b8cae59269ec1d85d3d4f324396048f4ac,,,,94,
0x87adf4d3e1eb630d41405c6ea5c0021c5b6614ff,NXTGEN,NextGeneration,2,,
0xf8c5d9608790974068051389378cc579cd09c93c,test,test6,0,1000000000000000000,
0xe4a55b6936e70bdca576e48d811c207091933176,TAR,Tartu Kroon,2,1000,
0x4df812f6064def1e5e029f1ca858777cc98d2d81,XAUR,Xaurum,8,7118613899216098,
0xfe1a96cd0bfb3245d83808b9aba6538576145920,,,,1123265295,
0x66f676abcdf777506aecde0b7725da613be80e32,§,Deposit Box KeyCoins,2,,
0xfdc40df608b10d1ea9ca81a23ea4161c12893ec1,,,8,50016331999,
0x53654a587a30485c2c2928ebac27f97edfa98b8a,P,POINT,2,,
0x9325f6e7767d61d934d118433666d1120863bdcd,DAC,TheDAC,0,1000000000000000000,
0x360897befc5b67346c01ca1534d622373c884239,,,,5000000000000,
0xa7f4e26da8d5fee8f44a0e3d536101b26d507bf8,,,,1000000,
0x4c2611a030d4d8e7b786881b49126b05abcf4720,$kwh,mykwh,,,
0x6c0fea3ef86ec0e713bb6329b324b8edc03d0c48,,,0,,
0xf815f4ba974d906b7d0e34ff9f74b316f509c7a1,CY,XCoin,4,,
0x89205a3a3b2a69de6dbf7f01ed13b2108b2c43e7,🦄,Unicorns,0,2712,
0x364a12e9f53998e46489f50c295907882a2291db,IRR,eRial.org,0,1,
0x62b7105b1b0e25eba8245b4d3c909806506f0ac1,Wh,GProd,,,
0xb37ba27aca4ec4fe601d7de26caf54a9694a0207,DD,mynexttoken,3,100000,
0xb51415543f8658209a41a25c727c972c2b92b0be,🌮🚀,Chubbs,0,,
0xb7e74c6465a8f32832da5ab3c1d4fda9846e69a1,O$,Originals,6,,
0xcf0178f7dc07f1b5633c209a715ac4f46f7df271,à,A Coin,2,,
0xb8de8854cdafc06a4ed52dd995fddfaa06fd7f2f,BB,Asset B,0,,
0xa85a29caeadddc0c0af113fb5ceadc563302983b,,,,10000,
0x1935a4b7f78accb76177d1d28ff62b58e48a0d71,DCD,decode,0,10000,
0x5d49d090ba58d4443e9ed06fa0f6d036914480c6,,,,,
0x5af119927971d2f2b4465105a31795042318e176,,,0,2000000000000000000,
0xf935f0769b02141c010c48bc4e9ab7f9f30d8bd2,wind,windpark,,,
0x2bdb4d227c1af2420beef5911139d9a330544823,,,0,,
0xea996ccae00acf23e50f3c41ebd35535b4fef5d8,,,0,83855529385339772,
0x77adce6516de9f4ccbfaa038b79838d87b2daa39,EDM,ETHDEMO,4,20000000000,
0xfe03def157254e5e488c318edfbca5bd88934553,VTX,Verify Token,3,10000,
0xe72d832f6bb125d86367daf89df6a36be8021742,A,AndCoin,2,,
0x79f5e2f3c6640c5f63ecea0297ab7eee9e59274e,°,Shilings,2,21000000,
0x9a84bc0aeeeac5db2fb8be45f42d1be38e371703,BCDN005,BCDN005,15,1000000000000000000000000,
0xe6d055f7db44ff34698627f115fd0236470fabbb,B3,B3,0,10000,
0xd4557aa78a390cadbfe74f3ecfc5ca9b483de5ff,,,,,
0xb83cab8babc0b9298df5d5283c30bf0d89d23b1e,🤗,HugCoin,,,
0x12403dc904edc805fd0cbeedd1049ba0c1b53a04,Strippers,$7RIP$,2,24711,
0x046581f34b72334f8e511282cc0d18ebda728e97,@,Fierce Coin,2,,
0x2b2005ab0aedf299e15bbef316d31104e18ffcf3,\xd0,Моне,2,100000,
0xee307e33824e19bdea1f139e4ade59241976aeac,Õ,Oskar Blowjob,1,46,
0xd253bd5c53d343a912281f2691902acced82963f,BT9,Beta9,1,,
0xf3438f63e02cda4ab74660a780d151838cf322a1,SVN - TA,Sovereign - Test Alpha,2,,
0xc5e8b9ff6da4640812eb5aa866d7baebf49ea03a,%,Gallecoin,2,,
0xf2565886a098c86d532ae2780470a7fe56bac158,LC,LawCoin,3,,
0xd01f7eec023f87f18bb5f3850eceb8dcbac5c0e7,%,Jerry,2,,
0xb590f448d338152f465a39c1455a87b9bcca4dfe,SST,SST,0,1000000,
0xe1e22ddbff3d6ecc8e9a4ac5af8f9192b91c28dd,,Ubersoft Class B Common Shares,0,,
0xd089d039cc8276b3a46507027120f0311aceec90,M,Mort,,1000000,
0xcc4bfbb732678c615e19c2728e5e626a3c147f69,SHA,SHANA,0,1000000,
0x9ea98e2c9048109467a8d8d9cf3bd4ae79f24744,😇,Test Campus Coin,2,,
0x75587c488240ac3fe9efefd70631fd639ce8deb9,PIτ,Property Investment Token,2,25000,
0x6416ea38216f6553f3353ac184b00bf6b1b3eb66,MTC,MATCOIN,2,,
0x3250f7853a66f8b4c7771b8ba60a801d97e3d1d4,BSCO,boscocoin,16,0,
0x5f100ebe48ae9c5396dd059dd0d8f4447f12a9e0,,,0,,
0x5dbb39024a21bbf8ac5a6be7f4ef899f97acf6dd,RES,Reserve,2,,
0x7438de8d3f553609fdf9f26a8734ad3b6bc0fd19,T1,test1,1,1000,
0xd63abfaa9df6b201e321e9a203ac899d1751af19,B,bagcoin,8,10000000000000000,
0x9a526b18eeb7195b7324f7271fc02c6b5e11ff5e,,,,63612112715000000000,
0x6674467c0d3e9689459f4f6c3043c79994d6278e,Wh,GMbalancerIN,,,
0x5dc71a78717e83685a47143422e59ecdb550a5e7,¢,¢ode¢oin,3,,
0xe330445b38a4506b13eccfadf9b2ecf54e2cf8b4,etb,ethbit,4,2000000000,
0xb582baaf5e749d6aa98a22355a9d08b4c4d013c8,HKG,HackerGold,3,,
0x61c029e089821313f127f5a97febc6a46eae2da6,%,Vyktoryan Central Bank Shares,2,,
0xc1829d712c8123d85e9b362f4dc7d8753f8259a1,OLI,Ollie Coins,0,1000000,
0x2de700d9fdb8b80af8cef9aa7c46f98304ff8bcd,,,,1000000,
0x348809661459afbb7f4371e252bb87199e9f1ac8,,,0,100000000,
0xdcc03ff18febdee3b12cdbd995eee7b7cba82fba,🌀 SHARE,noxonfund.com,0,1,
0xc7b825f7eecd714d0db6dd5711120a52b0ed0e87,XEB,ebatka,2,1000000,
0xd7e021cd9096cc0ca642828c1045eb10c6b1ff2e,§,MyString,8,,
0x5d1abccf390dcf28e6fe50095750a573c4a9c130,ALZ,Allianz,0,100,
0x295f8b4790e4b46169604cb9c8a6fd7edff03422,🌀 SHARE,noxonfund.com,0,0,
0x8cb66fa82b4faf5b71d8d6c3ba43a775ab43f76b,CFR,CryptoFR Coin,8,,
0x7d58602d4dfbe6957ead084c1b6f33767b5c9863,LUV ,Love 💗 ,0,,
0x07d66cff812847b2d2227628c9662818201878af,ADB,ANDY BUCKS,5,1000000,
0x57d90b64a1a57749b0f932f1a3395792e12e7055,,,,21265524714464,
0xe4ae1efdfc53b73893af49113d8694a057b9c0d1,,,1,5000006477258637377,
0x9fa2f1ddb7056dc5bd16ce85a0dbb145a4062d9b,%,My DAO shares,49,,
0xc89886ea1a98255087066bc30e45fcaa320730bd,Z≡N,Z≡N Coin,2,100000,
0x2dda158a8720a4ec2d4a6a490df9b979e27a0ce0,t,tuna,0,,
0x10abb5efecdc09581f8b7cb95791fe2936790b4e,,,1,38353864815688900000000,
0xf67bdfacee8374b15e4006fd292db100e9e015fe,FUN,Founder's Token,2,150000,
0xb31142ca6b76d8c8a725d32bd2b6088754e5b30e,o,Solo Coin,0,,
0x17d0c2b4b85e506d2fbf971253ec3973e34a1581,BML,BitSpread Market Neutral Liquidity,2,1000000,
0x28d5113fb69ccad891cb1f88530b7bcf44225da6,P-,GreyPower,,135495069,
0x6baa78624aa3bef6307cc8c4246787d0d5f8a061,F,FAN,2,1000000,
0x1cd4a3b41a0b8f5638bf464ac71653a09ccb2d28,,,0,5077324520677816623,
0x0be6d73fe3899575dd54ded96567b09f73d9cc2f,DOM,Domcoin,3,,
0xb27bdddd8722fd1440c11658f87fe9a28c4edcdd,,,0,5000000000000,
0x5847610405ffa7fc86f8a60ec7171676f1ea4afa,VTX,Verify Token,3,10000,
0xdca271f70135cbeec0e7cfef7d3f697c8812dca0,FUN,loftVR Founders Token,2,150000,
0x6cbb83a12d135229f79b931e48f3d4ab5dc6c02f,🍬,KANDY,3,10000,
0x3e485b680d8dff45e7d7880490ebe5514d369797,PSC,PAYSAFECOIN,7,16000000000000,
0x63a8c79612209aae5dd1ff32ed3d64ddc301bc49,,,,,
0x5b1caf6818c35298043a34a387895682615734d1,ac,acoin,7,,
0x7437b4ece9858f881c5f0e6da183da6ac97d5520,,,,,
0x4ae75fee889d57d3229817565032bf428cb9b673,%,Neuroware Sdn Bhd,2,10000,
0xd765b7f09e5a89330ea00ddff8ac37f5ef994dd2,√,GLY,2,2100000000,
0x4e10cfe992521d0334adeaf5a8f9daaebf13696a,BB,Asset B,0,,
0xb244abeae1a7e1e5d6da9008098bbeecec067c56,DAC,TheDAC,0,1000000000000000000,
0xe24e705564cd068a6da6bee02203e2a2d34b97ed,,,,,
0xf40f6093d0bc6c174ba3bccf1e3d7d6714a7583e,%,Steak Festival,2,,
0xe09b61f38164bc02dcd2fe4bfc1fe88ec3304c96,SBX,Simon Bucks,2,1000000,
0x3456f6ea53a44d9bdf0d3da99254860531cb0af5,DAC,TheDAC,0,1000000000000000000,
0x753e60b81977d220848fa1111a12978394cfcd6e,GDC,Grand Champion Coin,4,3900000000000,
0x4ff5794792ae51d02cb9b6bfd67114bd577afe70,🤖,aBots,2,100000000,
0x0b691a381c9dfc1aa2cd0d68534393e008069805,Euro,energiedebet,2,,
0x6fcb59c7ebab751a885bb88a55f3761888248da0,,Turnip,0,,
0x340e62412e8e661908305d1351de5d556fa7be4c,P,POINT,6,,
0x5d2b2e6fcbe3b11d26b525e085ff818dae332479,,,1,5000006477258637377,
0xc6c0569ca7dd9d7f2903cc40b495d8205ea13012,$,MCT,2,,
0xbbd265bafb9b1ee8b6581bcf6435bbc2b8a210f8,Ƀ,BiafraCoin,8,0,
0xd7e281b82becb8c82abc4272d2190e0486fc6d6e,,,,1500000000,
0x1c4112b81a5bfb3288573c8d5b8fecc8504ac59d,EUR,Euro,2,25800,
0x0aceff7781db707ba2100a1bb4d54196a496d014,ø,Unknøwn,2,,
0x42de082f84a45648e3ec51a55c5aa9a6e082f90f,D,Dinar,0,,
0xb136707642a4ea12fb4bae820f03d2562ebff487,,,1,7277385711515430000000000,
0xaae6b19867d40aa105c7256b44010d79dbdaa031,XXSMS,SMShares,8,100000000000000000,
0xb2f296096688ef6103bbe72af4848d560600155f,,,,99442326,
0x2f9b4fad3193d0f7b6e57bf0b8fed6b940915955,TT,TaxTest,,41,
0xefd98ff04917ec82822eb5c9576305253bad1a7e,%,AyeAyeCoin,0,,
0x4ade094a11f3708559349d3124f90b78008d188c,¤,FrancVince,2,250000,
0xc2d5ca636eb763f77682d1a640962519fe64cf46,Wh,PowerToken,0,,
0xeb8986bde53ee86ec8eec367a2823904d35f23e9,,,,,
0xc66ea802717bfb9833400264dd12c2bceaa34a6d,,,,1000000000000000000000000,
0xf8f31c1cd8c63f8a8b36530996397bf1ada3363f,ASH,Airalab Shares,0,10000,
0xb86b20199672b2ef5279189d3a4471542f5604a1,TOKENONE,Token One (Test),8,10000,
0x6777c314b412f0196aca852632969f63e7971340,kissBTC,kissBTC,8,6772647,
0xfec8bb460c2501b8c1d4801f34b4408c1fbbccb1,,,2,150000,
0x5d3b0435fe87df24bf3cb51fb71882146af2233a,GLY,GLYCASH,8,100000000000000000,
0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009,SNGLS,SingularDTV,0,1000000000,
0x1483b71db097b906dde4939ad3fb00c1d36dc076,,"Cisco Systems, Inc.",0,1633877,
0xc86d80c114957b4cf82e8ce87e3f55217688c56d,CLC,CoolCoin,2,,
0x14d2df0b60ac494d70eef19f8cf08afef4b90031,AA,Asset A,0,,
0xb237c9083633a7ee73f8369cec362c501d5bba16,%,MB COIN,2,,
0x45e703a12cbd8e40bc778e2ae66ffdc70b96b0ba,%,MyEther,2,,
0xf40b86dc247329b7e9de33b89ab1b89993293099,FLC,Flower Coin,18,1000,
0x042835e6b091fe13ac52908d67a7345ed2dabed1,test,test,16,10000000000,
0xe755479419ace948817668b4e8e797794e85e322,CR,Cherry,1,1000000,
0x0bf43e7408959fe8030d3729760f179403a20147,Karma,Hash DB Token,0,1,
0x8360c91b02e60e4c1db4e2d298e2f2c441d1aca4,CFC,Color Fortune Coin,4,2000000000000,
0x7e60dd5e7b7604aa171c43456a3bc783a5b5df6d,ø,BSKcoin,0,,
0x596140b926f9284c49e4f712d277b01d6b62d5f2,,,0,0,
0xd41b7c79d5027284504b80245b809dfacaba17a2,Đ,Dukat,2,,
0xf49a7972ab07875c9cf9288bbecedce50872fded,,,,1000,
